user_id,nim,jurusan,angkatan,line_id,whatsapp,created_at,updated_at
user-23,20003706,Teknik Elektro,2020,line_victoria_blair,+628639225743,2023-11-07T03:55:39.352556,2025-03-11T23:12:23.196983
user-24,20017944,Teknik Elektro,2021,line_drs._maras_mulyani,+628259598102,2024-04-30T18:32:46.182525,2025-01-28T18:35:50.583260
user-25,20024797,Manajemen,2022,line_david_dalton,+628414001466,2025-06-03T04:49:19.363788,2025-06-19T12:04:07.616466
user-26,20033322,Teknik Elektro,2023,line_cody_parker,+628444234897,2024-02-06T16:38:41.275281,2025-01-20T09:43:23.845509
user-27,20048709,Teknik Informatika,2024,line_ir._umi_andriani,+628391971885,2023-10-31T08:17:38.418578,2025-01-14T07:41:06.227645
user-28,20008984,Manajemen,2020,line_kacung_sudiati,+628955502728,2025-01-22T03:36:24.685483,2025-01-10T12:34:45.949507
user-29,20017278,Teknik Informatika,2021,line_selena_higgins,+628169182974,2025-08-03T11:25:41.075190,2025-01-03T12:00:27.634443
user-30,20028140,Manajemen,2022,line_roy_adams,+628086111974,2023-12-11T00:46:59.723223,2025-05-16T17:26:42.895995
user-31,20039891,Teknik Industri,2023,line_usyi_suryono,+628987770252,2024-12-03T22:14:42.086906,2025-07-28T18:29:25.970615
user-32,20041893,Akuntansi,2024,line_nicole_carr,+628430313329,2025-09-16T08:39:02.605642,2025-04-20T10:24:19.949243
user-33,20008598,Sistem Informasi,2020,line_suzanne_clarke,+628897746092,2024-12-17T18:48:06.527130,2025-08-02T00:48:37.485407
user-34,20012059,Teknik Komputer,2021,line_puti_yani_irawan,+628722344151,2025-09-03T19:12:07.968974,2025-08-19T19:14:25.661140
user-35,20023551,Teknik Elektro,2022,line_thomas_haley,+628044149520,2024-05-30T10:54:22.012455,2025-06-15T04:44:37.249233
user-36,20037152,Teknik Informatika,2023,"line_tgk._marwata_simanjuntak,_s.pt",+628670184530,2025-03-31T19:21:19.743904,2025-04-28T06:37:31.040313
user-37,20046265,Teknik Komputer,2024,line_marilyn_mullins,+628846193536,2024-02-01T12:14:38.095522,2024-10-23T22:25:05.141033
user-38,20007984,Akuntansi,2020,line_rebekah_king,+628711400073,2025-04-11T15:20:26.464304,2025-03-28T18:24:09.888906
user-39,20012384,Manajemen,2021,line_kayla_curtis,+628727784554,2024-03-29T22:31:05.749634,2024-10-20T15:17:29.411891
user-40,20023570,Manajemen,2022,line_joseph_morris,+628637876586,2025-09-01T14:44:43.924520,2025-07-27T08:12:06.366855
user-41,20032848,Sistem Informasi,2023,line_jason_thomas,+628257060932,2024-11-06T09:57:43.985542,2025-02-09T17:48:18.265723
user-42,20042182,Teknik Elektro,2024,line_ir._akarsana_mandasari,+628076996526,2025-04-06T05:56:44.825391,2025-03-28T12:11:19.182647
user-43,20007861,Teknik Industri,2020,line_drg._taufan_mangunsong,+628583911310,2024-05-29T07:47:16.760257,2025-08-16T06:56:08.769861
user-44,20015520,Teknik Industri,2021,"line_cut_clara_mulyani,_s.e.",+628222720812,2024-04-28T13:11:49.103784,2024-10-15T21:32:35.731222
user-45,20025555,Manajemen,2022,line_jeremiah_atkins,+628810950328,2025-01-12T12:59:47.276122,2025-07-19T05:50:28.216869
user-46,20038528,Teknik Elektro,2023,line_jennifer_hughes,+628967997417,2024-09-14T22:58:45.061753,2024-09-24T11:27:36.673222
user-47,20047879,Manajemen,2024,line_rebecca_moore,+628007037649,2024-10-29T20:37:43.680586,2025-04-04T06:47:03.649340
user-48,20007988,Teknik Elektro,2020,line_kajen_santoso,+628314307951,2024-08-19T23:51:39.601121,2024-12-20T12:13:28.809177
